,index,class,level,features
100,6,druid,2,"Druid Circle
At 2nd level, you choose to identify with a circle of druids. Your choice grants you features at 2nd level and again at 6th, 10th, and 14th level.


Circle
Source


Dreams
Xanathar's Guide to Everything


Land
Player's Handbook


Moon
Player's Handbook


Shepherd
Xanathar's Guide to Everything


Spores
Guildmaster's Guide to Ravnica
Tasha's Cauldron of Everything


Stars
Tasha's Cauldron of Everything


Wildfire
Tasha's Cauldron of Everything


The following domains are unofficial content developed by Eberron writer Keith Baker and released on the Dungeon Master's Guild


Forged
Exploring Eberron


Unearthed Arcana


 Primeval
Unearthed Arcana 83 - Giant Options


Archived Unearthed Arcana


 Mage of Prismari
Unearthed Arcana 79 - Mages of Strixhaven


 Mage of Witherbloom
Unearthed Arcana 79 - Mages of Strixhaven


Stars
Unearthed Arcana 69 - Subclasses, Part 3


Twilight
Unearthed Arcana 22 - Druid


Wildfire
Unearthed Arcana 63 - Cleric, Druid, Wizard


"
101,7,druid,2,"Wild Companion (Optional)
At 2nd level, you gain the ability to summon a spirit that assumes an animal form: as an action, you can expend a use of your Wild Shape feature to cast the Find Familiar spell, without material components.
When you cast the spell in this way, the familiar is a fey instead of a beast, and the familiar disappears after a number of hours equal to half your druid level.
"
102,8,druid,4,Wild Shape Improvement
103,9,druid,4,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
104,10,druid,4,"Cantrip Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace one cantrip you learned from this class's Spellcasting feature with another cantrip from the cleric spell list.
"
105,11,druid,6,Druid Circle Feature
106,12,druid,8,Wild Shape Improvement
107,13,druid,8,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
108,14,druid,8,"Cantrip Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace one cantrip you learned from this class's Spellcasting feature with another cantrip from the cleric spell list.
"
109,15,druid,10,Druid Circle Feature
110,16,druid,12,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
111,17,druid,12,"Cantrip Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace one cantrip you learned from this class's Spellcasting feature with another cantrip from the cleric spell list.
"
112,18,druid,14,Druid Circle Feature
113,19,druid,16,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
114,20,druid,16,"Cantrip Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace one cantrip you learned from this class's Spellcasting feature with another cantrip from the cleric spell list.
"
115,21,druid,18,"Timeless Body
Starting at 18th level, the primal magic that you wield causes you to age more slowly. For every 10 years that pass, your body ages only 1 year.
"
116,22,druid,18,"Beast Spells
Beginning at 18th level, you can cast many of your druid spells in any shape you assume using Wild Shape. You can perform the somatic and verbal components of a druid spell while in a beast shape, but you aren't able to provide material components.
"
117,23,druid,19,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
118,24,druid,19,"Cantrip Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace one cantrip you learned from this class's Spellcasting feature with another cantrip from the cleric spell list.
"
119,25,druid,20,"Archdruid
At 20th level, you can use your Wild Shape an unlimited number of times.
Additionally, you can ignore the verbal and somatic components of your druid spells, as well as any material components that lack a cost and aren't consumed by a spell. You gain this benefit in both your normal shape and your beast shape from Wild Shape.
"
120,0,fighter,0,"Hit Points
Hit Dice: 1d10 per fighter level
Hit Points at 1st Level: 10 + your Constitution modifier
Hit Points at Higher Levels: 1d10 (or 6) + your Constitution modifier per fighter level after 1st  "
121,1,fighter,0,"Proficiencies
Armor: All armor, shields
Weapons: Simple weapons, martial weapons
Tools: None
Saving Throws: Strength, Constitution
Skills: Choose two skills from Acrobatics, Animal Handling, Athletics, History, Insight, Intimidation, Perception, and Survival"
122,2,fighter,0,"Equipment
You start with the following equipment, in addition to the equipment granted by your background:
(a) chain mail or (b) leather armor, longbow, and 20 arrows
(a) a martial weapon and a shield or (b) two martial weapons
(a) a light crossbow and 20 bolts or (b) two handaxes
(a) a dungeoneer's pack or (b) and explorer's pack
"
123,3,fighter,1,"Fighting Style
You adopt a particular style of fighting as your specialty. Choose one of the following options. You can’t take a Fighting Style option more than once, even if you later get to choose again.
Archery: You gain a +2 bonus to attack rolls you make with ranged weapons
Defense: While you are wearing armor, you gain a +1 bonus to AC
Dueling: When you are wielding a melee weapon in one hand and no other weapons, you gain a +2 bonus to damage rolls with that weapon.
Great Weapon Fighting: When you roll a 1 or 2 on a damage die for an attack you make with a melee weapon that you are wielding with two hands, you can reroll the die and must use the new roll, even if the new roll is a 1 or a 2. The weapon must have the two-handed or versatile property for you to gain this benefit. 
Protection: When a creature you can see attacks a target other than you that is within 5 feet of you, you can use your reaction to impose disadvantage on the attack roll. You must be wielding a shield. 
Two-Weapon Fighting: When you engage in two-weapon fighting, you can add your ability modifier."
124,4,fighter,1,"Second Wind
You have a limited well of stamina that you can draw on to protect yourself from harm. On your turn, you can use a bonus action to regain hit points equal to 1d10 + your fighter level. Once you use this feature, you must finish a short or long rest before you can use it again."
125,5,fighter,2,"Action Surge
Starting at 2nd level, you can push yourself beyond your normal limits for a moment. On your turn, you can take one additional action on top of your regular action and a possible bonus action. Once you use this feature, you must finish a short or long rest before you can use it again. Starting at 17th level, you can use it twice before a rest, but only once on the same turn. "
126,6,fighter,3,"Martial Archetype
At 3rd level, you choose an archetype that you strive to emulate in your combat styles and techniques. Choose Champion, Battle Master, or Eldritch Knight, all detailed at the end of the class description. The archetype you choose grants you features at 3rd level and again at 7th, 10th, 15th, and 18th level. "
127,7,fighter,4,"Ability Score Improvement
When you reach 4th level, and again at 6th, 8th, 12th, 14th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature. "
128,8,fighter,5,"Extra Attack
Beginning at 5th level, you can attack twice, instead of once, whenever you take the Attack action on your turn. The number of attacks increases to three when you reach 11th level in this class and to four when you reach 20th level in this class. "
129,9,fighter,6,"Ability Score Improvement
When you reach 4th level, and again at 6th, 8th, 12th, 14th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature. "
130,10,fighter,7,"Martial Archetype
At 3rd level, you choose an archetype that you strive to emulate in your combat styles and techniques. Choose Champion, Battle Master, or Eldritch Knight, all detailed at the end of the class description. The archetype you choose grants you features at 3rd level and again at 7th, 10th, 15th, and 18th level. "
131,11,fighter,8,"Ability Score Improvement
When you reach 4th level, and again at 6th, 8th, 12th, 14th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature. "
132,12,fighter,9,"Indomitable
Beginning at 9th level, you can reroll a saving throw that you fail. If you do so, you must use the new roll, and you can’t use this feature again until you finish a long rest. You can use this feature twice between long rests starting at 13th level and three times between long rests starting at 17th level."
133,13,fighter,10,"Martial Archetype
At 3rd level, you choose an archetype that you strive to emulate in your combat styles and techniques. Choose Champion, Battle Master, or Eldritch Knight, all detailed at the end of the class description. The archetype you choose grants you features at 3rd level and again at 7th, 10th, 15th, and 18th level. "
134,14,fighter,11,"Extra Attack
Beginning at 5th level, you can attack twice, instead of once, whenever you take the Attack action on your turn. The number of attacks increases to three when you reach 11th level in this class and to four when you reach 20th level in this class. "
135,15,fighter,12,"Ability Score Improvement
When you reach 4th level, and again at 6th, 8th, 12th, 14th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature. "
136,16,fighter,13,"Indomitable
Beginning at 9th level, you can reroll a saving throw that you fail. If you do so, you must use the new roll, and you can’t use this feature again until you finish a long rest. You can use this feature twice between long rests starting at 13th level and three times between long rests starting at 17th level."
137,17,fighter,14,"Ability Score Improvement
When you reach 4th level, and again at 6th, 8th, 12th, 14th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature. "
138,18,fighter,15,"Martial Archetype
At 3rd level, you choose an archetype that you strive to emulate in your combat styles and techniques. Choose Champion, Battle Master, or Eldritch Knight, all detailed at the end of the class description. The archetype you choose grants you features at 3rd level and again at 7th, 10th, 15th, and 18th level. "
139,19,fighter,16,"Ability Score Improvement
When you reach 4th level, and again at 6th, 8th, 12th, 14th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature. "
140,20,fighter,17,"Action Surge
Starting at 2nd level, you can push yourself beyond your normal limits for a moment. On your turn, you can take one additional action on top of your regular action and a possible bonus action. Once you use this feature, you must finish a short or long rest before you can use it again. Starting at 17th level, you can use it twice before a rest, but only once on the same turn. "
141,21,fighter,17,"Indomitable
Beginning at 9th level, you can reroll a saving throw that you fail. If you do so, you must use the new roll, and you can’t use this feature again until you finish a long rest. You can use this feature twice between long rests starting at 13th level and three times between long rests starting at 17th level."
142,22,fighter,18,"Martial Archetype
At 3rd level, you choose an archetype that you strive to emulate in your combat styles and techniques. Choose Champion, Battle Master, or Eldritch Knight, all detailed at the end of the class description. The archetype you choose grants you features at 3rd level and again at 7th, 10th, 15th, and 18th level. "
143,23,fighter,19,"Ability Score Improvement
When you reach 4th level, and again at 6th, 8th, 12th, 14th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature. "
144,24,fighter,20,"Extra Attack
Beginning at 5th level, you can attack twice, instead of once, whenever you take the Attack action on your turn. The number of attacks increases to three when you reach 11th level in this class and to four when you reach 20th level in this class. "
145,0,monk,0,"Hit Points
Hit Dice: 1d8 per monk level
Hit Points at 1st Level: 8 + your Constitution modifier
Hit Points at Higher Levels: 1d8 (or 5) + your Constitution modifier per monk level after 1st
"
146,1,monk,0,"Proficiencies
Armor: None
Weapons: Simple weapons, shortswords
Tools: Choose one type of artisan's tools or one musical instrument
Saving Throws: Strength, Dexterity
Skills: Choose two from Acrobatics, Athletics, History, Insight, Religion, and Stealth
"
147,2,monk,0,"Equipment
You start with the following equipment, in addition to the equipment granted by your background:

(a) a shortsword or (b) any simple weapon
(a) a dungeoneer's pack or (b) an explorer's pack
10 darts

"
148,3,monk,1,"Unarmored Defense
Beginning at 1st level, while you are wearing no armor and not wielding a shield, your AC equals 10 + your Dexterity modifier + your Wisdom modifier.
"
149,4,monk,1,"Martial Arts
At 1st level, your practice of martial arts gives you mastery of combat styles that use unarmed strikes and monk weapons, which are shortswords and any simple melee weapons that don't have the two-handed or heavy property.
You gain the following benefits while you are unarmed or wielding only monk weapons and you aren't wearing armor or wielding a shield:

You can use Dexterity instead of Strength for the attack and damage rolls of your unarmed strikes and monk weapons.


You can roll a d4 in place of the normal damage of your unarmed strike or monk weapon. This die changes as you gain monk levels, as shown in the Martial Arts column of the Monk table.


When you use the Attack action with an unarmed strike or a monk weapon on your turn, you can make one unarmed strike as a bonus action. For example, if you take the Attack action and attack with a quarterstaff, you can also make an unarmed strike as a bonus action, assuming you haven't already taken a bonus action this turn.

Certain monasteries use specialized forms of the monk weapons. For example, you might use a club that is two lengths of wood connected by a short chain (called a nunchaku) or a sickle with a shorter, straighter blade (called a kama). Whatever name you use for a monk weapon, you can use the game statistics provided for the weapon on the Weapons page.
"
150,5,monk,2,"Ki
Starting at 2nd level, your training allows you to harness the mystic energy of ki. Your access to this energy is represented by a number of ki points. Your monk level determines the number of points you have, as shown in the Ki Points column of the Monk table.
You can spend these points to fuel various ki features. You start knowing three such features: Flurry of Blows, Patient Defense, and Step of the Wind. You learn more ki features as you gain levels in this class.
When you spend a ki point, it is unavailable until you finish a short or long rest, at the end of which you draw all of your expended ki back into yourself. You must spend at least 30 minutes of the rest meditating to regain your ki points.
Some of your ki features require your target to make a saving throw to resist the feature's effects. The saving throw DC is calculated as follows:
Ki save DC = 8 + your proficiency bonus + your Wisdom modifier

Flurry of Blows. Immediately after you take the Attack action on your turn, you can spend 1 ki point to make two unarmed strikes as a bonus action.


Patient Defense. You can spend 1 ki point to take the Dodge action as a bonus action on your turn.


Step of the Wind. You can spend 1 ki point to take the Disengage or Dash action as a bonus action on your turn, and your jump distance is doubled for the turn.

"
151,6,monk,2,"Unarmored Movement
Starting at 2nd level, your speed increases by 10 feet while you are not wearing armor or wielding a shield. This bonus increases when you reach certain monk levels, as shown in the Monk table.
At 9th level, you gain the ability to move along vertical surfaces and across liquids on your turn without falling during the move.
"
152,7,monk,2,"Dedicated Weapon (Optional)
Also at 2nd level, you train yourself to use a variety of weapons as monk weapons, not just simple melee weapons and shortswords. Whenever you finish a short or long rest, you can touch one weapon, focus your ki on it, and then count that weapon as a monk weapon until you use this feature again.
The chosen weapon must meet these criteria:

The weapon must be a simple or martial weapon.


You must be proficient with it.


It must lack the heavy and special properties.

"
153,8,monk,3,"Monastic Tradition
When you reach 3rd level, you commit yourself to a monastic tradition. Your tradition grants you features at 3rd level and again at 6th, 11th, and 17th level.


Tradition
Source


Astral Self
Tasha's Cauldron of Everything


Ascendant Dragon
Fizban's Treasury of Dragons


Drunken Master
Xanathar's Guide to Everything


Four Elements
Player's Handbook


Kensei
Xanathar's Guide to Everything


Long Death
Sword Coast Adventurer's Guide


Mercy
Tasha's Cauldron of Everything


Open Hand
Player's Handbook


Shadow
Player's Handbook


Sun Soul
Sword Coast Adventurer's Guide
Xanathar's Guide to Everything


The following subclass is unofficial homebrew created by WOTC affiliated DM, Matthew Mercer


Cobalt Soul
D&D Beyond


The following subclass is unofficial content developed by Eberron writer Keith Baker and released on the Dungeon Master's Guild


Living Weapon
Exploring Eberron


The following domain is unofficial content developed by WotC designers


Soul Knife
ThinkDM


Archived Unearthed Arcana


Ascendant Dragon
Unearthed Arcana 75 - Subclasses, Part 5


Astral Self
Unearthed Arcana 60 - Barbarian and Monk


Kensei
Source: Unearthed Arcana 24 - Monk


Mercy
Unearthed Arcana 67 - Subclasses, Part 1


Tranquility
Unearthed Arcana 24 - Monk


"
154,9,monk,3,"Deflect Missiles
Starting at 3rd level, you can use your reaction to deflect or catch the missile when you are hit by a ranged weapon attack. When you do so, the damage you take from the attack is reduced by 1d10 + your Dexterity modifier + your monk level.
If you reduce the damage to 0, you can catch the missile if it is small enough for you to hold in one hand and you have at least one hand free. If you catch a missile in this way, you can spend 1 ki point to make a ranged attack with a range of 20/60 using the weapon or piece of ammunition you just caught, as part of the same reaction. You make this attack with proficiency, regardless of your weapon proficiencies, and the missile counts as a monk weapon for the attack.
"
155,10,monk,3,"Ki-Fueled Attack (Optional)
Also at 3rd level, if you spend 1 ki point or more as part of your action on your turn, you can make one attack with an unarmed strike or a monk weapon as a bonus action before the end of the turn.
"
156,11,monk,4,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
157,12,monk,4,"Slow Fall
Beginning at 4th level, you can use your reaction when you fall to reduce any falling damage you take by an amount equal to five times your monk level.
"
158,13,monk,4,"Quickened Healing (Optional)
Also at 4th level, as an action, you can spend 2 ki points and roll a Martial Arts die. You regain a number of hit points equal to the number rolled plus your proficiency bonus.
"
159,14,monk,5,"Extra Attack
Beginning at 5th level, you can attack twice, instead of once, whenever you take the Attack action on your turn.
"
160,15,monk,5,"Stunning Strike
Starting at 5th level, you can interfere with the flow of ki in an opponent's body. When you hit another creature with a melee weapon attack, you can spend 1 ki point to attempt a stunning strike. The target must succeed on a Constitution saving throw or be stunned until the end of your next turn.
"
161,16,monk,5,"Focused Aim (Optional)
Also at 5th level, when you miss with an attack roll, you can spend 1 to 3 ki points to increase your attack roll by 2 for each of these ki points you spend, potentially turning the miss into a hit.
"
162,17,monk,6,"Ki-Empowered Strikes
Starting at 6th level, your unarmed strikes count as magical for the purpose of overcoming resistance and immunity to nonmagical attacks and damage.
"
163,18,monk,6,Monastic Tradition Feature
164,19,monk,7,"Evasion
At 7th level, your instinctive agility lets you dodge out of the way of certain area effects, such as a blue dragon's lightning breath or a fireball spell. When you are subjected to an effect that allows you to make a Dexterity saving throw to take only half damage, you instead take no damage if you succeed on the saving throw, and only half damage if you fail.
"
165,20,monk,7,"Stillness of Mind
Starting at 7th level, you can use your action to end one effect on yourself that is causing you to be charmed or frightened.
"
166,21,monk,8,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
167,22,monk,9,"Unarmored Movement
Starting at 2nd level, your speed increases by 10 feet while you are not wearing armor or wielding a shield. This bonus increases when you reach certain monk levels, as shown in the Monk table.
At 9th level, you gain the ability to move along vertical surfaces and across liquids on your turn without falling during the move.
"
168,23,monk,10,"Purity of Body
At 10th level, your mastery of the ki flowing through you makes you immune to disease and poison.
"
169,24,monk,11,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
170,25,monk,12,Monastic Tradition Feature
171,26,monk,13,"Tongue of the Sun and Moon
Starting at 13th level, you learn to touch the ki of other minds so that you understand all spoken languages. Moreover, any creature that can understand a language can understand what you say.
"
172,27,monk,14,"Diamond Soul
Beginning at 14th level, your mastery of ki grants you proficiency in all saving throws.
Additionally, whenever you make a saving throw and fail, you can spend 1 ki point to reroll it and take the second result.
"
173,28,monk,15,"Timeless Body
At 15th level, your ki sustains you so that you suffer none of the frailty of old age, and you can't be aged magically. You can still die of old age, however. In addition, you no longer need food or water.
"
174,29,monk,16,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
175,30,monk,17,Monastic Tradition Feature
176,31,monk,18,"Empty Body
Beginning at 18th level, you can use your action to spend 4 ki points to become invisible for 1 minute. During that time, you also have resistance to all damage but force damage.
Additionally, you can spend 8 ki points to cast the astral projection spell, without needing material components. When you do so, you can't take any other creatures with you.
"
177,32,monk,19,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
178,33,monk,20,"Perfect Self
At 20th level, when you roll for initiative and have no ki points remaining, you regain 4 ki points.
"
179,0,paladin,0,"Hit Points
Hit Dice: 1d10 per paladin level
Hit Points at 1st Level: 10 + your Constitution modifier
Hit Points at Higher Levels: 1d10 (or 6) + your Constitution modifier per paladin level after 1st
"
180,1,paladin,0,"Proficiencies
Armor: All armor, shields
Weapons: Simple weapons, martial weapons
Tools: None
Saving Throws: Wisdom, Charisma
Skills: Choose two from Athletics, Insight, Intimidation, Medicine, Persuasion, and Religion
"
181,2,paladin,0,"Equipment
You start with the following equipment, in addition to the equipment granted by your background:

(a) a martial weapon and a shield or (b) two martial weapons
(a) five javelins or (b) any simple melee weapon
(a) a priest's pack or (b) an explorer's pack
Chain mail and a holy symbol

"
182,3,paladin,1,"Divine Sense
The presence of strong evil registers on your senses like a noxious odor, and powerful good rings like heavenly music in your ears. As an action, you can open your awareness to detect such forces. Until the end of your next turn, you know the location of any celestial, fiend, or undead within 60 feet of you that is not behind total cover. You know the type (celestial, fiend, or undead) of any being whose presence you sense, but not its identity (the vampire Count Strahd von Zarovich, for instance). Within the same radius, you also detect the presence of any place or object that has been consecrated or desecrated, as with the Hallow spell.
You can use this feature a number of times equal to 1 + your Charisma modifier. When you finish a long rest, you regain all expended uses.
"
183,4,paladin,1,"Lay on Hands
Your blessed touch can heal wounds. You have a pool of healing power that replenishes when you take a long rest. With that pool, you can restore a total number of hit points equal to your paladin level x 5.
As an action, you can touch a creature and draw power from the pool to restore a number of hit points to that creature, up to the maximum amount remaining in your pool.
Alternatively, you can expend 5 hit points from your pool of healing to cure the target of one disease or neutralize one poison affecting it. You can cure multiple diseases and neutralize multiple poisons with a single use of Lay on Hands, expending hit points separately for each one.
This feature has no effect on undead and constructs.
"
184,5,paladin,2,"Fighting Style
Starting at 2nd level, you adopt a particular style of fighting as your specialty. Choose one of the following options. You can't take a Fighting Style option more than once, even if you later get to choose again.

Blessed Warrior. You learn two cantrips of your choice from the cleric spell list. They count as paladin spells for you, and Charisma is your spellcasting ability for them. Whenever you gain a level in this class, you can replace one of these cantrips with another cantrip from the cleric spell list.


Blind Fighting. You have blindsight with a range of 10 feet. Within that range, you can effectively see anything that isn't behind total cover, even if you're blinded or in darkness. Moreover, you can see an invisible creature within that range, unless the creature successfully hides from you.


Defense. While you are wearing armor, you gain a +1 bonus to AC.


Dueling. When you are wielding a melee weapon in one hand and no other weapons, you gain a +2 bonus to damage rolls with that weapon.


Great Weapon Fighting. When you roll a 1 or 2 on a damage die for an attack you make with a melee weapon that you are wielding with two hands, you can reroll the die and must use the new roll, even if the new roll is a 1 or a 2. The weapon must have the two-handed or versatile property for you to gain this benefit.


Interception. When a creature you can see hits a target, other than you, within 5 feet of you with an attack, you can use your reaction to reduce the damage the target takes by 1d10 + your proficiency bonus (to a minimum of 0 damage). You must be wielding a shield or a simple or martial weapon to use this reaction.


Protection. When a creature you can see attacks a target other than you that is within 5 feet of you, you can use your reaction to impose disadvantage on the attack roll. You must be wielding a shield.


"
185,6,paladin,2,"Spellcasting
By 2nd level, you have learned to draw on divine magic through meditation and prayer to cast spells as a cleric does.
Preparing and Casting Spells
The Paladin table shows how many spell slots you have to cast your paladin spells. To cast one of your paladin spells of 1st level or higher, you must expend a slot of the spell's level or higher. You regain all expended spell slots when you finish a long rest.
You prepare the list of paladin spells that are available for you to cast, choosing from the paladin spell list. When you do so, choose a number of paladin spells equal to your Charisma modifier + half your paladin level, rounded down (minimum of one spell). The spells must be of a level for which you have spell slots.
For example, if you are a 5th-level paladin, you have four 1st-level and two 2nd-level spell slots. With a Charisma of 14, your list of prepared spells can include four spells of 1st or 2nd level, in any combination. If you prepare the 1st-level spell Cure Wounds, you can cast it using a 1st-level or a 2nd-level slot. Casting the spell doesn't remove it from your list of prepared spells.
You can change your list of prepared spells when you finish a long rest. Preparing a new list of paladin spells requires time spent in prayer and meditation: at least 1 minute per spell level for each spell on your list.
Spellcasting Ability
Charisma is your spellcasting ability for your paladin spells, since their power derives from the strength of your convictions. You use your Charisma whenever a spell refers to your spellcasting ability. In addition, you use your Charisma modifier when setting the saving throw DC for a paladin spell you cast and when making an attack roll with one.
Spell save DC = 8 + your proficiency bonus + your Charisma modifier
Spell attack modifier = your proficiency bonus + your Charisma modifier
Spellcasting Focus
You can use a holy symbol as a spellcasting focus for your paladin spells.
"
186,7,paladin,2,"Divine Smite
Starting at 2nd level, when you hit a creature with a melee weapon attack, you can expend one spell slot to deal radiant damage to the target, in addition to the weapon's damage. The extra damage is 2d8 for a 1st-level spell slot, plus 1d8 for each spell level higher than 1st, to a maximum of 5d8. The damage increases by 1d8 if the target is an undead or a fiend, to a maximum of 6d8.
"
187,8,paladin,3,"Divine Health
By 3rd level, the divine magic flowing through you makes you immune to disease.
"
188,9,paladin,3,"Sacred Oath
When you reach 3rd level, you swear the oath that binds you as a paladin forever. Up to this time you have been in a preparatory stage, committed to the path but not yet sworn to it. Your choice grants you features at 3rd level and again at 7th, 15th, and 20th level. Those features include oath spells and the Channel Divinity feature.


Oath
Source


Ancients
Player's Handbook


Conquest
Xanathar's Guide to Everything


Crown
Sword Coast Adventurer's Guide


Devotion
Player's Handbook


Glory
Mythic Odysseys of Theros
Tasha's Cauldron of Everything


Redemption
Xanathar's Guide to Everything


Vengeance
Player's Handbook


Watchers
Tasha's Cauldron of Everything


Oathbreaker
Dungeon Master’s Guide


The following subclass is unofficial homebrew created by WOTC affiliated DM, Matthew Mercer


Open Sea
D&D Beyond


Archived Unearthed Arcana


Treachery
Unearthed Arcana 26 - Paladin


Redemption
Unearthed Arcana 35 - A Trio of Subclasses


Watchers
Unearthed Arcana 67 - Subclasses, Part 1


Heroism
Unearthed Arcana 62 - Bard and Paladin


Oath Spells
Each oath has a list of associated spells. You gain access to these spells at the levels specified in the oath description. Once you gain access to an oath spell, you always have it prepared. Oath spells don't count against the number of spells you can prepare each day.
If you gain an oath spell that doesn't appear on the paladin spell list, the spell is nonetheless a paladin spell for you.
Channel Divinity
Your oath allows you to channel divine energy to fuel magical effects. Each Channel Divinity option provided by your oath explains how to use it.
When you use your Channel Divinity, you choose which option to use. You must then finish a short or long rest to use your Channel Divinity again.
Some Channel Divinity effects require saving throws. When you use such an effect from this class, the DC equals your paladin spell save DC.
"
189,10,paladin,3,"Harness Divine Power (Optional)
Also at 3rd level, you can expend a use of your Channel Divinity to fuel your spells. As a bonus action, you touch your holy symbol, utter a prayer, and regain one expended spell slot, the level of which can be no higher than half your proficiency bonus (rounded up). The number of times you can use this feature is based on the level you've reached in this class: 3rd level, once; 7th level, twice; and 15th level, thrice. You regain all expended uses when you finish a long rest.
"
190,11,paladin,4,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
191,12,paladin,4,"Martial Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace a fighting style you know with another fighting style available to paladins. This replacement represents a shift of focus in your martial practice.
"
192,13,paladin,5,"Extra Attack
Beginning at 5th level, you can attack twice, instead of once, whenever you take the Attack action on your turn.
"
193,14,paladin,6,"Aura of Protection
Starting at 6th level, whenever you or a friendly creature within 10 feet of you must make a saving throw, the creature gains a bonus to the saving throw equal to your Charisma modifier (with a minimum bonus of +1). You must be conscious to grant this bonus.
At 18th level, the range of this aura increases to 30 feet.
"
194,15,paladin,7,Sacred Oath Feature
195,16,paladin,8,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
196,17,paladin,8,"Martial Versatility (Optional)
Whenever you reach a level in this class that grants the Ability Score Improvement feature, you can replace a fighting style you know with another fighting style available to paladins. This replacement represents a shift of focus in your martial practice.
"
197,18,paladin,10,"Aura of Courage
Starting at 10th level, you and friendly creatures within 10 feet of you can't be frightened while you are conscious.
At 18th level, the range of this aura increases to 30 feet.
"
198,19,paladin,11,"Improved Divine Smite
By 11th level, you are so suffused with righteous might that all your melee weapon strikes carry divine power with them. Whenever you hit a creature with a melee weapon, the creature takes an extra 1d8 radiant damage.
"
199,20,paladin,12,"Ability Score Improvement
When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.
"
